Time	Conc
2204.833	0.0194
2204.875	0.0194
2204.917	0.0194
2204.958	0.0194
2205	0.0194
2205.042	0.0194
2205.083	0.0194
2205.125	0.0194
2205.167	0.0194
2205.208	0.0194
2205.25	0.0194
2205.292	0.0195
2205.333	0.0195
2205.375	0.0195
2205.417	0.0195
2205.458	0.0195
2205.5	0.0195
2205.542	0.0195
2205.583	0.0195
2205.625	0.0195
2205.667	0.0195
2205.708	0.0195
2205.75	0.0195
2205.792	0.0195
2205.833	0.0195
2205.875	0.0195
2205.917	0.0195
2205.958	0.0195
2206	0.0195
2206.042	0.0195
2206.083	0.0195
2206.125	0.0195
2206.167	0.0195
2206.208	0.0195
2206.25	0.0195
2206.292	0.0195
2206.333	0.0195
2206.375	0.0195
2206.417	0.0195
2206.458	0.0195
2206.5	0.0195
2206.542	0.0195
2206.583	0.0195
2206.625	0.0195
2206.667	0.0195
2206.708	0.0195
2206.75	0.0195
2206.792	0.0195
2206.833	0.0195
2206.875	0.0195
2206.917	0.0195
2206.958	0.0195
2207	0.0195
2207.042	0.0195
2207.083	0.0195
2207.125	0.0195
2207.167	0.0195
2207.208	0.0195
2207.25	0.0195
2207.292	0.0195
2207.333	0.0195
2207.375	0.0195
2207.417	0.0195
2207.458	0.0195
2207.5	0.0195
2207.542	0.0195
2207.583	0.0195
2207.625	0.0195
2207.667	0.0195
2207.708	0.0195
2207.75	0.0194
2207.792	0.0194
2207.833	0.0194
2207.875	0.0194
2207.917	0.0194
2207.958	0.0194
2208	0.0194
2208.042	0.0194
2208.083	0.0194
2208.125	0.0194
2208.167	0.0194
2208.208	0.0194
2208.25	0.0194
2208.292	0.0194
2208.333	0.0194
2208.375	0.0193
2208.417	0.0193
2208.458	0.0193
2208.5	0.0193
2208.542	0.0193
2208.583	0.0193
2208.625	0.0193
2208.667	0.0193
2208.708	0.0193
2208.75	0.0193
2208.792	0.0193
2208.833	0.0192
2208.875	0.0192
2208.917	0.0192
2208.958	0.0192
2209	0.0192
2209.042	0.0192
2209.083	0.0192
2209.125	0.0192
2209.167	0.0192
2209.208	0.0192
2209.25	0.0191
2209.292	0.0191
2209.333	0.0191
2209.375	0.0191
2209.417	0.0191
2209.458	0.0191
2209.5	0.0191
2209.542	0.0191
2209.583	0.0191
2209.625	0.019
2209.667	0.019
2209.708	0.019
2209.75	0.019
2209.792	0.019
2209.833	0.019
2209.875	0.019
2209.917	0.019
2209.958	0.0189
2210	0.0189
2210.042	0.0189
2210.083	0.0189
2210.125	0.0189
2210.167	0.0189
2210.208	0.0189
2210.25	0.0188
2210.292	0.0188
2210.333	0.0188
2210.375	0.0188
2210.417	0.0188
2210.458	0.0188
2210.5	0.0188
2210.542	0.0187
2210.583	0.0187
2210.625	0.0187
2210.667	0.0187
2210.708	0.0187
2210.75	0.0187
2210.792	0.0187
2210.833	0.0186
2210.875	0.0186
2210.917	0.0186
2210.958	0.0186
2211	0.0186
2211.042	0.0186
2211.083	0.0186
2211.125	0.0185
2211.167	0.0185
2211.208	0.0185
2211.25	0.0185
2211.292	0.0185
2211.333	0.0185
2211.375	0.0184
2211.417	0.0184
2211.458	0.0184
2211.5	0.0184
2211.542	0.0184
2211.583	0.0184
2211.625	0.0183
2211.667	0.0183
2211.708	0.0183
2211.75	0.0183
2211.792	0.0183
2211.833	0.0182
2211.875	0.0182
2211.917	0.0182
2211.958	0.0182
2212	0.0182
2212.042	0.0182
2212.083	0.0181
2212.125	0.0181
2212.167	0.0181
2212.208	0.0181
2212.25	0.0181
2212.292	0.018
2212.333	0.018
2212.375	0.018
2212.417	0.018
2212.458	0.018
2212.5	0.0179
2212.542	0.0179
2212.583	0.0179
2212.625	0.0179
2212.667	0.0179
2212.708	0.0179
2212.75	0.0178
2212.792	0.0178
2212.833	0.0178
2212.875	0.0178
2212.917	0.0177
2212.958	0.0177
2213	0.0177
2213.042	0.0177
2213.083	0.0177
2213.125	0.0176
2213.167	0.0176
2213.208	0.0176
2213.25	0.0176
2213.292	0.0176
2213.333	0.0175
2213.375	0.0175
2213.417	0.0175
2213.458	0.0175
2213.5	0.0175
2213.542	0.0174
2213.583	0.0174
2213.625	0.0174
2213.667	0.0174
2213.708	0.0173
2213.75	0.0173
2213.792	0.0173
2213.833	0.0173
2213.875	0.0173
2213.917	0.0172
2213.958	0.0172
2214	0.0172
2214.042	0.0172
2214.083	0.0171
2214.125	0.0171
2214.167	0.0171
2214.208	0.0171
2214.25	0.0171
2214.292	0.017
2214.333	0.017
2214.375	0.017
2214.417	0.017
2214.458	0.0169
2214.5	0.0169
2214.542	0.0169
2214.583	0.0169
2214.625	0.0168
2214.667	0.0168
2214.708	0.0168
2214.75	0.0168
2214.792	0.0168
2214.833	0.0167
2214.875	0.0167
2214.917	0.0167
2214.958	0.0167
2215	0.0166
2215.042	0.0166
2215.083	0.0166
2215.125	0.0166
2215.167	0.0165
2215.208	0.0165
2215.25	0.0165
2215.292	0.0165
2215.333	0.0165
2215.375	0.0164
2215.417	0.0164
2215.458	0.0164
2215.5	0.0164
2215.542	0.0163
2215.583	0.0163
2215.625	0.0163
2215.667	0.0163
2215.708	0.0163
2215.75	0.0162
2215.792	0.0162
2215.833	0.0162
2215.875	0.0162
2215.917	0.0161
2215.958	0.0161
2216	0.0161
2216.042	0.0161
2216.083	0.0161
2216.125	0.016
2216.167	0.016
2216.208	0.016
2216.25	0.016
2216.292	0.0159
2216.333	0.0159
2216.375	0.0159
2216.417	0.0159
2216.458	0.0159
2216.5	0.0158
2216.542	0.0158
2216.583	0.0158
2216.625	0.0158
2216.667	0.0157
2216.708	0.0157
2216.75	0.0157
2216.792	0.0157
2216.833	0.0157
2216.875	0.0156
2216.917	0.0156
2216.958	0.0156
2217	0.0156
2217.042	0.0155
2217.083	0.0155
2217.125	0.0155
2217.167	0.0155
2217.208	0.0155
2217.25	0.0154
2217.292	0.0154
2217.333	0.0154
2217.375	0.0154
2217.417	0.0154
2217.458	0.0153
2217.5	0.0153
2217.542	0.0153
2217.583	0.0153
2217.625	0.0152
2217.667	0.0152
2217.708	0.0152
2217.75	0.0152
2217.792	0.0152
2217.833	0.0151
2217.875	0.0151
2217.917	0.0151
2217.958	0.0151
2218	0.0151
2218.042	0.015
2218.083	0.015
2218.125	0.015
2218.167	0.015
2218.208	0.0149
2218.25	0.0149
2218.292	0.0149
2218.333	0.0149
2218.375	0.0149
2218.417	0.0148
2218.458	0.0148
2218.5	0.0148
2218.542	0.0148
2218.583	0.0148
2218.625	0.0147
2218.667	0.0147
2218.708	0.0147
2218.75	0.0147
2218.792	0.0147
2218.833	0.0146
2218.875	0.0146
2218.917	0.0146
2218.958	0.0146
2219	0.0146
2219.042	0.0145
2219.083	0.0145
2219.125	0.0145
2219.167	0.0145
2219.208	0.0144
2219.25	0.0144
2219.292	0.0144
2219.333	0.0144
2219.375	0.0144
2219.417	0.0143
2219.458	0.0143
2219.5	0.0143
2219.542	0.0143
2219.583	0.0143
2219.625	0.0142
2219.667	0.0142
2219.708	0.0142
2219.75	0.0142
2219.792	0.0142
2219.833	0.0141
2219.875	0.0141
2219.917	0.0141
2219.958	0.0141
2220	0.0141
